(1, '7f9cac8e-5e5c-4947-bd1d-8557f59b9e26', 88, 180, '4', 'ABAKO', NULL, '2022-01-01 00:23:40', '2023-11-13 14:35:30'),
(2, '4b5d1304-99b5-45af-9ca5-a8c1c950366e', 87, 159, '8', 'ABANGA', NULL, '2022-01-01 00:23:40', '2023-11-13 14:35:30'),
(3, '22d1a864-bf5c-485f-b757-3734daa3fd62', 58, 124, '1', 'ABARILELA', NULL, '2022-01-01 00:23:41', '2023-11-13 14:35:30'),
(4, '2c6db33a-4359-42ca-aac7-efa38f37251f', 57, 123, '13', 'ABEJA', NULL, '2022-01-01 00:23:41', '2023-11-13 14:35:30'),
(5, '4bee6a49-bb34-4484-b489-c46969575149', 76, 147, '1', 'ABER', NULL, '2022-01-01 00:23:41', '2023-11-13 14:35:30'),
(6, 'c8f7ca5e-8c32-4c1f-849b-7d5de212602b', 58, 124, '12', 'ABIA', NULL, '2022-01-01 00:23:41', '2023-11-13 14:35:30'),
(7, '402a2e08-d3af-4498-9481-d36f28461879', 88, 160, '6', 'ABIA', NULL, '2022-01-01 00:23:41', '2023-11-13 14:35:30'),
(8, '3031ec49-f153-4f30-9c04-3fc564e632da', 81, 153, '5', 'ABILIYEP', NULL, '2022-01-01 00:23:41', '2023-11-13 14:35:30'),
(9, '6f4c0bee-aa93-42ab-b6ba-b8fab7c384a8', 70, 140, '1', 'ABIM', NULL, '2022-01-01 00:23:41', '2023-11-13 14:35:30'),
(10, '11b34307-4f1b-481e-b7da-14cc74262941', 70, 140, '6', 'ABIM TOWN COUNCIL', NULL, '2022-01-01 00:23:41', '2023-11-13 14:35:30'),
(11, '61337b27-9e2e-4a5d-9e4e-941fdeb4e997', 33, 252, '1', 'ABINDU DIVISION', NULL, '2022-01-01 00:23:41', '2023-11-13 14:35:30'),
(12, 'e423718a-5cdb-438c-834f-eaf633fe6c86', 76, 147, '7', 'ABOK', NULL, '2022-01-01 00:23:41', '2023-11-13 14:35:30'),
